tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
1.5,21189200.0,True,1801.0,8.82843137254902,18162.0,6.0,True,-0.7927163486097467,0.16116979421280145,82.33333333333333,13.321661558028962,A13-twin,33e371f
1.5,21189400.0,True,1797.0,8.808823529411764,16547.0,40.0,True,-0.7019715089982272,0.1986225215328699,73.0,10.714476188783099,A13-twin,33e371f
1.5,21189600.0,True,1766.0,8.656862745098039,16568.0,3.0,True,-0.6998516011172874,0.19959442147035023,76.33333333333333,11.430952132988166,A13-twin,33e371f
1.5,21189800.0,True,1779.0,8.720588235294118,16435.0,48.0,True,-0.9527123544111068,0.11150328070202498,80.83333333333333,7.386925386564202,A13-twin,33e371f
1.5,21190000.0,True,1681.0,8.240196078431373,16128.0,9.0,True,-0.8341349237672938,0.14650926048628576,65.83333333333333,13.105978279650346,A13-twin,33e371f
1.5,21190200.0,True,1844.0,9.03921568627451,18183.0,21.0,True,-0.7703068697265815,0.16970441081124393,77.83333333333333,10.245324136730213,A13-twin,33e371f
1.5,21190400.0,True,1708.0,8.372549019607844,17347.0,10.0,True,-0.6742653948350547,0.21170670125201216,69.5,14.20915198032592,A13-twin,33e371f
1.5,21190600.0,True,1747.0,8.563725490196079,16057.0,19.0,True,-0.6589564750065892,0.2193024709275951,72.0,7.536577472566709,A13-twin,33e371f
1.5,21190800.0,True,1740.0,8.529411764705882,16738.0,3.0,True,-0.6314115900346555,0.23366217233208647,70.33333333333333,13.03329070751768,A13-twin,33e371f
1.5,21191000.0,True,1786.0,8.754901960784315,17102.0,13.0,True,-0.7526104952365034,0.17676224337387936,66.33333333333333,7.366591251499344,A13-twin,33e371f
1.5,21191200.0,True,1710.0,8.382352941176471,14995.0,5.0,True,-0.6216777550841244,0.23895836876223123,71.66666666666667,8.016649341630622,A13-twin,33e371f
1.5,21191400.0,True,1738.0,8.519607843137255,15798.0,3.0,True,-0.6443335238655212,0.22681223395811512,71.5,10.014988766843425,A13-twin,33e371f
