stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout
B,105.0,b77f588,3e3728adc8da6819,badf79594573dbf4,bd45f5be58c2ef71,105.0,39.0,structured,ok,3.0,5.671151311079311,4000.0,1000.0,0.0165,0.075,0.058499999999999996,0.1376193507320178,0.11141533277169334,0.502
B,105.0,b77f588,3e3728adc8da6819,badf79594573dbf4,bd45f5be58c2ef71,105.0,39.0,column_shuffled,ok,1.0,2.8199966688527596,4000.0,1000.0,0.17975,0.248,0.06825,0.11203055378739654,nan,nan
B,105.0,b77f588,3e3728adc8da6819,badf79594573dbf4,bd45f5be58c2ef71,105.0,39.0,column_shuffled,ok,2.0,2.8199966688527596,4000.0,1000.0,0.0935,0.127,0.0335,0.16002546148949717,nan,nan
B,105.0,b77f588,3e3728adc8da6819,badf79594573dbf4,bd45f5be58c2ef71,105.0,39.0,column_shuffled,ok,3.0,2.8199966688527596,4000.0,1000.0,0.0585,0.124,0.0655,0.14801612561001487,nan,nan
B,106.0,b77f588,5e87f2d533ca9172,f544e81bc782b2c9,f387553c92fc6955,106.0,40.0,structured,ok,1.0,5.856576133554099,4000.0,1000.0,0.01075,0.031,0.02025,0.1273341782847486,0.09276613667473939,0.572
B,106.0,b77f588,5e87f2d533ca9172,f544e81bc782b2c9,f387553c92fc6955,106.0,40.0,structured,ok,2.0,5.856576133554099,4000.0,1000.0,0.01875,0.046,0.02725,0.13122095479509926,0.11024534063388439,0.534
B,106.0,b77f588,5e87f2d533ca9172,f544e81bc782b2c9,f387553c92fc6955,106.0,40.0,structured,ok,3.0,5.856576133554099,4000.0,1000.0,0.01775,0.045,0.02725,0.14093789607097593,0.10487522375486996,0.476
B,106.0,b77f588,5e87f2d533ca9172,f544e81bc782b2c9,f387553c92fc6955,106.0,40.0,column_shuffled,ok,1.0,3.286999923467614,4000.0,1000.0,0.20425,0.224,0.019750000000000018,0.2503591043514998,nan,nan
B,106.0,b77f588,5e87f2d533ca9172,f544e81bc782b2c9,f387553c92fc6955,106.0,40.0,column_shuffled,ok,2.0,3.286999923467614,4000.0,1000.0,0.10325,0.162,0.05875000000000001,0.16915927334178285,nan,nan
B,106.0,b77f588,5e87f2d533ca9172,f544e81bc782b2c9,f387553c92fc6955,106.0,40.0,column_shuffled,ok,3.0,3.286999923467614,4000.0,1000.0,0.04875,0.142,0.09324999999999999,0.20270384452893958,nan,nan
B,107.0,b77f588,d97efd78c9dd08be,23d0e9022d300948,a8af64f7c4ca0856,107.0,40.0,structured,ok,1.0,5.0545860630878146,4000.0,1000.0,0.0165,0.037,0.020499999999999997,0.1303394476069998,0.09508749736453721,0.393
B,107.0,b77f588,d97efd78c9dd08be,23d0e9022d300948,a8af64f7c4ca0856,107.0,40.0,structured,ok,2.0,5.0545860630878146,4000.0,1000.0,0.01625,0.04,0.02375,0.13426101623445075,0.09782837866329328,0.506
B,107.0,b77f588,d97efd78c9dd08be,23d0e9022d300948,a8af64f7c4ca0856,107.0,40.0,structured,ok,3.0,5.0545860630878146,4000.0,1000.0,0.0155,0.059,0.0435,0.1306346194391735,0.09909340080118069,0.518
B,107.0,b77f588,d97efd78c9dd08be,23d0e9022d300948,a8af64f7c4ca0856,107.0,40.0,column_shuffled,ok,1.0,2.612523659574574,4000.0,1000.0,0.24425,0.325,0.08075000000000002,0.3014547754585705,nan,nan
B,107.0,b77f588,d97efd78c9dd08be,23d0e9022d300948,a8af64f7c4ca0856,107.0,40.0,column_shuffled,ok,2.0,2.612523659574574,4000.0,1000.0,0.1165,0.144,0.027499999999999983,0.17693442968585285,nan,nan
B,107.0,b77f588,d97efd78c9dd08be,23d0e9022d300948,a8af64f7c4ca0856,107.0,40.0,column_shuffled,ok,3.0,2.612523659574574,4000.0,1000.0,0.04925,0.157,0.10775,0.17326586548597933,nan,nan
B,108.0,b77f588,033a00b4b5c72252,bc88c6f7c2e4192c,ebd56b714eba6fa8,108.0,40.0,structured,ok,1.0,5.041959315020691,4000.0,1000.0,0.0125,0.021,0.0085,0.11751578947368421,0.09655245346869712,0.589
B,108.0,b77f588,033a00b4b5c72252,bc88c6f7c2e4192c,ebd56b714eba6fa8,108.0,40.0,structured,ok,2.0,5.041959315020691,4000.0,1000.0,0.019,0.046,0.027,0.13006315789473682,0.11357868020304568,0.412
B,108.0,b77f588,033a00b4b5c72252,bc88c6f7c2e4192c,ebd56b714eba6fa8,108.0,40.0,structured,ok,3.0,5.041959315020691,4000.0,1000.0,0.01775,0.056,0.038250000000000006,0.13532631578947368,0.11209813874788493,0.505
B,108.0,b77f588,033a00b4b5c72252,bc88c6f7c2e4192c,ebd56b714eba6fa8,108.0,40.0,column_shuffled,ok,1.0,2.559267800912128,4000.0,1000.0,0.24375,0.327,0.08325000000000002,0.29145263157894735,nan,nan
B,108.0,b77f588,033a00b4b5c72252,bc88c6f7c2e4192c,ebd56b714eba6fa8,108.0,40.0,column_shuffled,ok,2.0,2.559267800912128,4000.0,1000.0,0.12275,0.186,0.06325,0.2576421052631579,nan,nan
B,108.0,b77f588,033a00b4b5c72252,bc88c6f7c2e4192c,ebd56b714eba6fa8,108.0,40.0,column_shuffled,ok,3.0,2.559267800912128,4000.0,1000.0,0.05175,0.133,0.08125000000000002,0.2041263157894737,nan,nan
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,structured,ok,1.0,5.335231156924096,4000.0,1000.0,0.017,0.033,0.016,0.10985915492957746,0.11513227513227513,0.478
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,structured,ok,2.0,5.335231156924096,4000.0,1000.0,0.01375,0.056,0.04225,0.13394996846752155,0.10105820105820106,0.517
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,structured,ok,3.0,5.335231156924096,4000.0,1000.0,0.01625,0.06,0.04375,0.14731973933151146,0.10486772486772487,0.526
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,column_shuffled,ok,1.0,2.5868975240563987,4000.0,1000.0,0.24825,0.35,0.10174999999999998,0.23060752575152405,nan,nan
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,column_shuffled,ok,2.0,2.5868975240563987,4000.0,1000.0,0.1225,0.217,0.0945,0.2129913811225562,nan,nan
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,column_shuffled,ok,3.0,2.5868975240563987,4000.0,1000.0,0.05775,0.122,0.06425,0.17838974143367667,nan,nan
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,structured,ok,1.0,5.496463501828917,4000.0,1000.0,0.01625,0.03,0.013749999999999998,0.12034760491733787,0.09647827920708561,0.496
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,structured,ok,2.0,5.496463501828917,4000.0,1000.0,0.019,0.04,0.021,0.1331072488342518,0.10691691269506537,0.412
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,structured,ok,3.0,5.496463501828917,4000.0,1000.0,0.0185,0.058,0.03950000000000001,0.14336583298007627,0.10944749051033319,0.527
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,column_shuffled,ok,1.0,2.828755566411484,4000.0,1000.0,0.25425,0.223,-0.031249999999999972,0.3592623993217465,nan,nan
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,column_shuffled,ok,2.0,2.828755566411484,4000.0,1000.0,0.11225,0.139,0.02675000000000001,0.22997032640949558,nan,nan
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,column_shuffled,ok,3.0,2.828755566411484,4000.0,1000.0,0.054,0.09,0.036,0.16718948707079273,nan,nan
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,structured,ok,1.0,4.661685698593435,4000.0,1000.0,0.00875,0.012,0.0032499999999999994,0.11414736842105264,0.07963667089142375,0.516
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,structured,ok,2.0,4.661685698593435,4000.0,1000.0,0.01225,0.039,0.02675,0.1336842105263158,0.09759188846641319,0.592
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,structured,ok,3.0,4.661685698593435,4000.0,1000.0,0.0155,0.073,0.057499999999999996,0.14185263157894737,0.11153358681875793,0.456
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,column_shuffled,ok,1.0,2.3978393852456996,4000.0,1000.0,0.21025,0.216,0.005750000000000005,0.23216842105263158,nan,nan
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,column_shuffled,ok,2.0,2.3978393852456996,4000.0,1000.0,0.092,0.147,0.05499999999999999,0.18332631578947373,nan,nan
