beta,start,seed,S,R,n0,n1,n2,mm_dim,height,acc,class
3.0,R,103,-84.36978050130854,2956.222222222222,1629.7272727272727,337.47474747474746,76.51515151515152,1.7602610851599925,7.9646464646464645,0.05028,other
3.0,R,104,-89.80104099978254,2944.8102564102564,1736.0564102564103,322.85641025641024,67.46666666666667,1.765503496932473,7.430769230769231,0.052945,other
3.0,X,100,-104.84284654886797,2443.8442211055276,2030.5577889447236,297.1005025125628,54.68341708542714,2.016902429730027,4.678391959798995,0.0078125,other
3.0,X,101,-109.63350161318706,2449.6633165829144,2131.462311557789,275.1457286432161,33.1356783919598,2.0137373375995082,4.0201005025125625,0.00674,other
3.0,X,102,-107.4340669033516,2425.737113402062,2109.201030927835,248.34536082474227,37.6958762886598,2.026826914397577,4.164948453608248,0.007145,other
3.0,X,103,-107.84529987454498,2440.3096446700506,2093.299492385787,278.7715736040609,44.27918781725889,2.0188311854994243,4.106598984771574,0.007285,other
3.0,X,104,-107.46496992548556,2497.8939393939395,2107.3535353535353,253.28787878787878,39.17171717171717,1.9877988307766246,5.388888888888889,0.0071325,other
4.0,R,100,-88.37024879628146,3128.590909090909,1815.7424242424242,183.24242424242425,27.13131313131313,1.6817960014764646,6.883838383838384,0.02344,other
4.0,R,101,-89.07587483891245,3143.502512562814,1824.9698492462312,189.91959798994975,27.195979899497488,1.6753417779936024,7.226130653266332,0.02676,other
4.0,R,102,-90.70617675967507,3140.6989795918366,1858.4234693877552,182.66836734693877,27.581632653061224,1.6765051396825499,7.688775510204081,0.02927,other
4.0,R,103,-92.01841065895145,3190.6717948717946,1885.9333333333334,173.76923076923077,24.317948717948717,1.6545637182626618,7.287179487179487,0.0300275,crystal
4.0,R,104,-95.43570637688441,3124.0502512562816,1947.1909547738694,165.08040201005025,24.045226130653266,1.6836747952048876,6.864321608040201,0.02503,crystal
4.0,X,100,-114.49657259792892,2446.720812182741,2335.431472081218,103.31979695431473,7.862944162436548,2.0153185475452116,3.4619289340101522,0.003645,crystal
4.0,X,101,-115.51442813751315,2465.115577889447,2353.0854271356784,103.35175879396985,7.296482412060302,2.0053460263180027,3.341708542713568,0.0035625,crystal
4.0,X,102,-112.83928785183173,2487.263959390863,2310.3451776649745,98.1015228426396,5.964467005076142,1.9935333673407112,4.243654822335025,0.004925,crystal
4.0,X,103,-114.99304096689231,2456.7589743589742,2341.651282051282,107.0,7.969230769230769,2.0098617914328174,3.4564102564102566,0.0034825,crystal
4.0,X,104,-115.20707184403295,2457.0,2351.9396984924624,97.23618090452261,6.7537688442211055,2.0097331597414687,3.4522613065326633,0.0034275,crystal
6.0,R,100,-87.39846936392834,3088.542713567839,1892.4874371859296,62.879396984924625,7.306532663316583,1.6993573138286018,5.261306532663316,0.0129425,crystal
6.0,R,101,-81.39451633667844,3528.4141414141413,1794.378787878788,66.65656565656566,11.47979797979798,1.5122137784067944,6.595959595959596,0.0165625,crystal
6.0,R,102,-92.28877672240621,3393.1776649746193,1984.9543147208121,41.23857868020305,6.182741116751269,1.567763017991736,6.223350253807107,0.01536,crystal
6.0,R,103,-98.05428536701875,3401.6903553299494,2067.8172588832485,50.746192893401016,2.9390862944162435,1.5641491887450698,5.116751269035533,0.0121275,crystal
6.0,R,104,-101.03649705548774,3219.256281407035,2130.1608040201004,35.130653266331656,1.4974874371859297,1.6417159083336974,5.447236180904523,0.01406,crystal
6.0,X,100,-117.93780363636363,2467.2070707070707,2458.848484848485,8.358585858585858,0.0,2.004210983057327,2.1616161616161618,0.00181,crystal
6.0,X,101,-119.1549530050251,2487.0150753768844,2482.331658291457,4.683417085427136,0.0,1.9935417467118381,2.0954773869346734,0.001425,crystal
6.0,X,102,-117.92946800639999,2469.555,2454.28,15.265,0.01,2.002941237518725,2.28,0.00206,crystal
6.0,X,103,-117.3375930347208,2463.8020304568527,2436.944162436548,25.558375634517766,1.299492385786802,2.006059908262498,2.482233502538071,0.0018925,crystal
6.0,X,104,-118.92100229788947,2485.673366834171,2473.4422110552764,12.22110552763819,0.010050251256281407,1.9942688103039339,2.241206030150754,0.0017125,crystal
