stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout,achieved_density
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,column_shuffled,ok,1.0,2.568174377856884,4000.0,1000.0,0.245,0.275,0.030000000000000027,0.30627492130115425,nan,nan,
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,column_shuffled,ok,2.0,2.568174377856884,4000.0,1000.0,0.11825,0.169,0.05075000000000002,0.23706190975865687,nan,nan,
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,column_shuffled,ok,3.0,2.568174377856884,4000.0,1000.0,0.07225,0.125,0.052750000000000005,0.14501573976915005,nan,nan,
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,column_shuffled_repeat,ok,1.0,2.750950527515542,4000.0,1000.0,0.2005,0.291,0.09049999999999997,0.21645330535152155,nan,nan,
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,column_shuffled_repeat,ok,2.0,2.750950527515542,4000.0,1000.0,0.1135,0.159,0.0455,0.1686463798530955,nan,nan,
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,column_shuffled_repeat,ok,3.0,2.750950527515542,4000.0,1000.0,0.06,0.111,0.051000000000000004,0.1586149003147954,nan,nan,
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,random_order,ok,1.0,1.3731184326873689,4000.0,1000.0,0.22275,0.215,-0.007750000000000007,0.3058053620434874,nan,nan,0.5851542162246691
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,random_order,ok,2.0,1.3731184326873689,4000.0,1000.0,0.09375,0.146,0.05224999999999999,0.1751319400464429,nan,nan,0.5851542162246691
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,random_order,ok,3.0,1.3731184326873689,4000.0,1000.0,0.0485,0.093,0.0445,0.15659700232214482,nan,nan,0.5851542162246691
C,203.0,b77f588,b3a55f3832f52623,8154371ccf757996,70dc1c6a4a6629f3,203.0,40.0,random_order_shuffled,ok,1.0,2.078646257948687,4000.0,1000.0,0.23425,0.255,0.02074999999999999,0.2531560059109141,nan,nan,0.5851542162246691
