source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,epsilon,label,status,heldout,truth,instrument_margin,achieved_density
P1,epsilon=0.15,p1_scene,307.0,636358.0,6331.0,7126.0,6995.0,1.7889985152263863,111.0,ba90aa8,0.15,1.0,ok,0.023,0.09859749024570284,0.34268339836198103,0.5853667062210816
P1,epsilon=0.3,p1_scene,307.0,626142.0,5199.0,7132.0,7734.0,1.811105106648144,110.0,ba90aa8,0.3,,ok,0.023,0.1193223928004235,0.20451738133050995,0.5759693131329856
P1,epsilon=0.45,p1_scene,307.0,621266.0,4166.0,6465.0,7807.0,1.821760805703228,109.0,ba90aa8,0.45,,ok,0.024,0.15627316040232928,-0.04182106934886187,0.5714840264554645
P1,epsilon=0.6,p1_scene,307.0,617364.0,3537.0,5784.0,7514.0,1.8303376649544578,107.0,ba90aa8,0.6,,ok,0.088,0.2769605249232723,-0.8464034994884819,0.5678946932693104
P1,epsilon=0.75,p1_scene,307.0,649987.0,3602.0,5923.0,7729.0,1.7599528738136803,103.0,ba90aa8,0.75,,ok,0.245,0.43568025410269984,-3.9,0.5979036160094194
P1,epsilon=0.9,p1_scene,307.0,643065.0,3737.0,6009.0,7612.0,1.7746422383261722,99.0,ba90aa8,0.9,0.0,ok,0.257,0.5033428844317096,-4.14,0.591536275077959
P1,epsilon=1,p1_scene,307.0,635002.0,3815.0,5943.0,7492.0,1.7919160048849347,98.0,ba90aa8,1.0,0.0,ok,0.233,0.49728116003838363,-3.6599999999999997,0.5841193623460368
P1,epsilon=0,p1_scene,308.0,621745.0,7210.0,6201.0,6015.0,1.820710990403977,115.0,ba90aa8,0.0,1.0,ok,0.014,0.10018963337547408,0.33206911083017276,0.5719246442402333
P1,epsilon=0.15,p1_scene,308.0,641655.0,5937.0,6923.0,7084.0,1.7776501730616983,112.0,ba90aa8,0.15,1.0,ok,0.013,0.1400126422250316,0.06658238516645598,0.5902392582167398
P1,epsilon=0.3,p1_scene,308.0,626731.0,4939.0,6946.0,7765.0,1.8098225621066324,109.0,ba90aa8,0.3,,ok,0.022,0.1592565212799662,-0.06171014186644138,0.5765111166303318
P1,epsilon=0.45,p1_scene,308.0,635630.0,4007.0,6179.0,7590.0,1.7905642052975423,105.0,ba90aa8,0.45,,ok,0.035,0.20527207283506246,-0.3684804855670831,0.5846970407778421
P1,epsilon=0.6,p1_scene,308.0,604564.0,3453.0,5500.0,7059.0,1.8587908627161696,105.0,ba90aa8,0.6,,ok,0.049,0.2443024494142705,-0.6286829960951368,0.5561203558057602
P1,epsilon=0.75,p1_scene,308.0,628216.0,3497.0,5659.0,7356.0,1.8065933659469469,104.0,ba90aa8,0.75,,ok,0.22,0.4832910321489002,-3.3999999999999995,0.5778771237501265
P1,epsilon=0.9,p1_scene,308.0,633020.0,3514.0,5549.0,7112.0,1.79618952934206,99.0,ba90aa8,0.9,0.0,ok,0.288,0.510085542295913,-4.76,0.5822961797794152
P1,epsilon=1,p1_scene,308.0,616011.0,3621.0,5578.0,6898.0,1.833322083569544,99.0,ba90aa8,1.0,0.0,ok,0.211,0.5199449793672627,-3.2199999999999993,0.5666501090046085
P1,epsilon=0,p1_scene,309.0,620436.0,7223.0,6279.0,5917.0,1.8235814792565401,115.0,ba90aa8,0.0,1.0,ok,0.015,0.0969232384752704,0.35384507683153066,0.5707205342605625
P1,epsilon=0.15,p1_scene,309.0,622280.0,6087.0,7033.0,6870.0,1.8195392272760142,112.0,ba90aa8,0.15,1.0,ok,0.024,0.1486926388743043,0.00871574083797122,0.5724167747514051
P1,epsilon=0.3,p1_scene,309.0,621139.0,5051.0,7105.0,7576.0,1.822039260917152,107.0,ba90aa8,0.3,,ok,0.024,0.14197206762574818,0.053519549161678746,0.5713672029509433
P1,epsilon=0.45,p1_scene,309.0,613202.0,4062.0,6254.0,7418.0,1.8395354326495599,106.0,ba90aa8,0.45,,ok,0.033,0.22839441352514964,-0.5226294235009976,0.5640661938534279
P1,epsilon=0.6,p1_scene,309.0,610728.0,3458.0,5581.0,7334.0,1.8450272899658735,105.0,ba90aa8,0.6,,ok,0.088,0.3167069200882075,-1.1113794672547168,0.561790435190551
P1,epsilon=0.75,p1_scene,309.0,613138.0,3361.0,5438.0,7182.0,1.8396772707172504,101.0,ba90aa8,0.75,,ok,0.161,0.4345269347894571,-2.2199999999999998,0.5640073221661102
P1,epsilon=0.9,p1_scene,309.0,639910.0,3726.0,6045.0,7733.0,1.7813802169652284,98.0,ba90aa8,0.9,0.0,ok,0.214,0.48272603171269557,-3.2799999999999994,0.5886340848672168
