status,n_targets,min_chain_len,heldout,null_gap,truth,R,n0,n1,n2,mm_dim,height,family,layer_count,moves,window,seed,gate_pass,stage,code_version
ok,44.0,43.0,0.1975,-0.0062500000000000056,0.38724133386055093,164454.0,2492.0,1907.0,1660.0,1.1410292944515632,89.0,layered,25.0,500.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.125,-0.0025000000000000022,0.4361731458505652,174963.0,7214.0,1082.0,149.0,1.0431941492774932,52.0,layered,40.0,20.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.1475,-0.041249999999999995,0.38277703604806407,172855.0,4410.0,1948.0,839.0,1.0625824731352322,81.0,layered,40.0,100.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.17,0.07499999999999998,0.34283828382838283,164985.0,2530.0,1763.0,1522.0,1.136010153422676,99.0,layered,40.0,500.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.07,0.17124999999999999,0.33537315418384994,173989.0,3651.0,1157.0,403.0,1.0521390145541512,98.0,layered,60.0,100.0,60.0,105.0,1.0,P6-B,d0d2220
ok,44.0,45.0,0.1625,0.06625,0.27530311017395886,165235.0,2444.0,1675.0,1415.0,1.1336501116149238,104.0,layered,60.0,500.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.06125,0.0875,0.4641752923780078,172419.0,7291.0,5015.0,618.0,1.0666063412794422,45.0,layered,25.0,20.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.15875,0.09249999999999997,0.3905143620574482,171287.0,3217.0,3746.0,2660.0,1.0770764212982789,78.0,layered,25.0,100.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,46.0,0.1525,0.0,0.31576872536136663,164781.0,2371.0,1752.0,1564.0,1.137937375864266,95.0,layered,25.0,500.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.1175,-0.0012499999999999872,0.5068735538314958,174860.0,6954.0,1249.0,116.0,1.0441389891299364,54.0,layered,40.0,20.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,39.0,0.1525,0.06625,0.34226666666666666,172782.0,4315.0,2270.0,744.0,1.0632558586352219,83.0,layered,40.0,100.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,46.0,0.14,0.0875,0.43,165374.0,2436.0,1654.0,1530.0,1.1323387583478333,98.0,layered,40.0,500.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,50.0,0.1475,0.036250000000000004,0.3284953395472703,173836.0,3685.0,1241.0,397.0,1.0535461985700647,93.0,layered,60.0,100.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,44.0,0.12875,0.0037500000000000033,0.24244017880620564,165816.0,2320.0,1741.0,1467.0,1.1281727595381934,100.0,layered,60.0,500.0,60.0,106.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.06375,0.035,0.5158783331100094,172218.0,10234.0,2796.0,119.0,1.0684630112079985,39.0,layered,25.0,20.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,28.0,0.1525,0.08125000000000002,0.3333775713337757,170650.0,4680.0,3484.0,2073.0,1.082982915695946,67.0,layered,25.0,100.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.2275,0.06125,0.3385691657866948,163775.0,2336.0,1889.0,1571.0,1.1474602173818536,95.0,layered,25.0,500.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.03125,0.10750000000000001,0.4008661523886859,174580.0,7213.0,1152.0,50.0,1.0467087634361665,50.0,layered,40.0,20.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.1725,-0.006249999999999978,0.3891697711548696,172294.0,4756.0,1751.0,867.0,1.0677608652007695,79.0,layered,40.0,100.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.18125,0.0037500000000000033,0.33188291139240506,164363.0,2398.0,1923.0,1486.0,1.1418903297652214,100.0,layered,40.0,500.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,51.0,0.18875,0.07249999999999998,0.4161795961742827,173280.0,3918.0,988.0,415.0,1.0586647365839923,87.0,layered,60.0,100.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,45.0,0.1275,0.04375000000000001,0.2738299274884641,164761.0,2471.0,1705.0,1373.0,1.1381263885905266,100.0,layered,60.0,500.0,60.0,107.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.1425,0.05750000000000002,0.4853777416734362,172151.0,10056.0,2300.0,369.0,1.0690821312426628,36.0,layered,25.0,20.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,28.0,0.20125,0.0024999999999999745,0.4697499327776284,170501.0,4640.0,3151.0,2087.0,1.084366058447158,65.0,layered,25.0,100.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,44.0,0.1975,-0.036250000000000004,0.3495902722706846,165302.0,2405.0,1835.0,1658.0,1.1330179466106078,94.0,layered,25.0,500.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.17,-0.0037500000000000033,0.33342303552206676,174685.0,7391.0,971.0,65.0,1.0457448785559675,49.0,layered,40.0,20.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.14125,0.06625,0.34296028880866425,172187.0,4562.0,1980.0,717.0,1.068749455402302,72.0,layered,40.0,100.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,44.0,0.11,0.115,0.2323645970937913,165680.0,2352.0,1792.0,1411.0,1.1294539729864117,103.0,layered,40.0,500.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.10625,0.105,0.42290158219361756,173145.0,4088.0,912.0,431.0,1.0599087040015718,81.0,layered,60.0,100.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.11625,0.11625,0.31295391522514193,166030.0,2431.0,1765.0,1386.0,1.1261578646080093,103.0,layered,60.0,500.0,60.0,108.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.13625,-0.007500000000000007,0.44973687761435704,172136.0,9636.0,3411.0,233.0,1.0692207560059996,37.0,layered,25.0,20.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.37375,-0.11875000000000002,0.4199864956110736,170891.0,5194.0,2949.0,1866.0,1.0807470090044906,71.0,layered,25.0,100.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,44.0,0.1475,0.03,0.2928373565492679,164750.0,2466.0,1826.0,1489.0,1.1382303508783709,93.0,layered,25.0,500.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.06625,0.19499999999999998,0.3699658703071672,174562.0,7641.0,751.0,77.0,1.0468740273713224,47.0,layered,40.0,20.0,60.0,109.0,1.0,P6-B,d0d2220
ok,44.0,40.0,0.13,0.1175,0.3981991667786588,172351.0,5066.0,1581.0,668.0,1.0672343527584953,74.0,layered,40.0,100.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.2575,-0.03125,0.42704344381354814,165544.0,2407.0,1735.0,1490.0,1.1307357477502311,104.0,layered,40.0,500.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.16375,0.017499999999999988,0.3443452777407753,173430.0,3900.0,1028.0,555.0,1.0572830828019697,90.0,layered,60.0,100.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.195,-0.04375000000000001,0.22771100250957602,165693.0,2455.0,1661.0,1372.0,1.129331479819605,105.0,layered,60.0,500.0,60.0,109.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.10375,0.05750000000000001,0.49352576207175614,172214.0,10402.0,1528.0,814.0,1.0684999703633071,35.0,layered,25.0,20.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,27.0,0.19875,0.03874999999999998,0.3591586794462194,170596.0,4547.0,3466.0,1667.0,1.083484120115906,67.0,layered,25.0,100.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.18125,0.027499999999999997,0.2949241924851681,164538.0,2487.0,1900.0,1578.0,1.1402347222818063,92.0,layered,25.0,500.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.03375,0.12875,0.40856716822556594,174578.0,7897.0,314.0,117.0,1.0467271257118158,44.0,layered,40.0,20.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.3075,-0.09,0.3810099382218641,171856.0,5095.0,1563.0,659.0,1.071809482856759,66.0,layered,40.0,100.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.1675,-0.03875000000000001,0.34317098994176815,164870.0,2567.0,1762.0,1551.0,1.1370964195383468,89.0,layered,40.0,500.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.1475,0.10624999999999998,0.3272434175174637,172783.0,4158.0,868.0,452.0,1.0632466332677173,75.0,layered,60.0,100.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,45.0,0.26,0.044999999999999984,0.3538969616908851,165095.0,2493.0,1711.0,1401.0,1.134971498117424,104.0,layered,60.0,500.0,60.0,110.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.21625,-0.11499999999999999,0.47058823529411764,172097.0,11157.0,2041.0,122.0,1.069581207474108,34.0,layered,25.0,20.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.12875,0.10500000000000001,0.3820299946438136,170605.0,4975.0,3675.0,1847.0,1.0834005806199771,66.0,layered,25.0,100.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.26125,-0.09249999999999997,0.3578864145473712,163777.0,2416.0,1829.0,1636.0,1.1474412536689282,93.0,layered,25.0,500.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.0575,0.14500000000000002,0.49438509997261026,174451.0,7961.0,400.0,62.0,1.047893326930006,45.0,layered,40.0,20.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.20125,-0.0625,0.4028594334580438,172459.0,4918.0,1957.0,636.0,1.0662369778864171,71.0,layered,40.0,100.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.20375,0.048750000000000016,0.3664252797893351,164403.0,2411.0,1849.0,1461.0,1.1415118207996438,108.0,layered,40.0,500.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,55.0,0.2025,0.006249999999999978,0.33196177329439874,173449.0,4170.0,930.0,414.0,1.0571081131846478,84.0,layered,60.0,100.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.20625,-0.023749999999999993,0.4036636794939378,164635.0,2418.0,1769.0,1418.0,1.1393174543187938,109.0,layered,60.0,500.0,60.0,111.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.3225,-0.0675,0.45070043103448276,172287.0,9911.0,2976.0,489.0,1.0678255303558064,42.0,layered,25.0,20.0,60.0,112.0,0.0,P6-B,d0d2220
ok,44.0,27.0,0.3575,-0.13374999999999998,0.40524703688906644,171132.0,3876.0,3653.0,2115.0,1.078512647243155,74.0,layered,25.0,100.0,60.0,112.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.06625,0.2325,0.2119700748129676,164266.0,2441.0,1885.0,1574.0,1.1428084221461283,94.0,layered,25.0,500.0,60.0,112.0,1.0,P6-B,d0d2220
ok,44.0,40.0,0.035,0.11124999999999999,0.4663021189336979,174928.0,7302.0,1139.0,120.0,1.0435151831063907,53.0,layered,40.0,20.0,60.0,112.0,0.0,P6-B,d0d2220
ok,44.0,39.0,0.18,0.057499999999999996,0.4171420809562619,173081.0,4248.0,2131.0,898.0,1.0604985957911506,80.0,layered,40.0,100.0,60.0,112.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.21625,-0.09375,0.3004196170993968,165053.0,2439.0,1823.0,1455.0,1.135368031598277,103.0,layered,40.0,500.0,60.0,112.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.11625,0.09999999999999999,0.3588586595885866,173826.0,3909.0,1150.0,468.0,1.0536381913296489,87.0,layered,60.0,100.0,60.0,112.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.21625,0.04999999999999999,0.38413032054650553,165164.0,2329.0,1727.0,1506.0,1.1343201680829904,110.0,layered,60.0,500.0,60.0,112.0,0.0,P6-B,d0d2220
