stage,seed,epsilon,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,achieved_density,target_density,density_held,truth_order_error,heldout_violation,restart_order_disagreement
P1-B,303.0,0.6,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,2999ccce08a73198,303.0,30.0,ok,0.5715143821692377,0.5673482904213925,1.0,0.2778313511196828,0.057,0.060836012861736344
P1-B,303.0,0.75,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,f92df77b7e8d004d,303.0,30.0,ok,0.5594944393851589,0.5673482904213925,1.0,0.4793742633665488,0.162,0.11742765273311898
P1-B,303.0,0.9,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,3177a1bcbe096505,303.0,36.0,ok,0.5752426157426571,0.5673482904213925,1.0,0.5041339834640661,0.189,0.24469792986903255
P1-B,303.0,1.0,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,67d24a5e7ae5f53c,303.0,35.0,ok,0.5605844854706515,0.5673482904213925,1.0,0.5005299978800085,0.247,0.3100956429330499
P1-B,304.0,0.0,a218d9a,268de09089ee35ed,4e69386f1627ce26,6c42ee7e8a6021b8,304.0,40.0,ok,0.5610076257232479,0.5610076257232479,1.0,0.10110352075669994,0.02,0.13106347204707863
P1-B,304.0,0.15,a218d9a,268de09089ee35ed,4e69386f1627ce26,8353c4701127a50e,304.0,40.0,ok,0.5690647680547507,0.5610076257232479,1.0,0.12485549132947976,0.045,0.1266498528793611
P1-B,304.0,0.3,a218d9a,268de09089ee35ed,4e69386f1627ce26,a821ec7cc57b85b3,304.0,40.0,ok,0.5733265262944872,0.5610076257232479,1.0,0.1488176563321072,0.045,0.12749054224464057
P1-B,304.0,0.45,a218d9a,268de09089ee35ed,4e69386f1627ce26,5d07227c8117dede,304.0,40.0,ok,0.5645960390392877,0.5610076257232479,1.0,0.18192327903310562,0.049,0.1055065153425809
P1-B,304.0,0.6,a218d9a,268de09089ee35ed,4e69386f1627ce26,246fae47cc3dbf7e,304.0,38.0,ok,0.5607215461176882,0.5610076257232479,1.0,0.26967592592592593,0.117,0.09898691430983537
P1-B,304.0,0.75,a218d9a,268de09089ee35ed,4e69386f1627ce26,78646b9edf9e491a,304.0,35.0,ok,0.5645270487807121,0.5610076257232479,1.0,0.43667937314697164,0.219,0.24491183343955808
P1-B,304.0,0.9,a218d9a,268de09089ee35ed,4e69386f1627ce26,0442c858d7c19c68,304.0,32.0,ok,0.5475269291975973,0.5610076257232479,1.0,0.5066978524346162,0.254,0.36275803362417536
P1-B,304.0,1.0,a218d9a,268de09089ee35ed,4e69386f1627ce26,7ea45e7ebc51a62a,304.0,36.0,ok,0.5563153682700003,0.5610076257232479,1.0,0.49591858369553693,0.291,0.28741778060683215
P1-B,305.0,0.0,a218d9a,fd17b300b596e5cf,2e67811a45503d82,dcc1347b959a5ae3,305.0,40.0,ok,0.5625373697233951,0.5625373697233951,1.0,0.09838133277275594,0.023,0.12733389402859546
P1-B,305.0,0.15,a218d9a,fd17b300b596e5cf,2e67811a45503d82,78a01f40b65a5185,305.0,40.0,ok,0.5723293870905428,0.5625373697233951,1.0,0.12728610468782847,0.035,0.1257779646761985
P1-B,305.0,0.3,a218d9a,fd17b300b596e5cf,2e67811a45503d82,d5eed3cd130ec97d,305.0,40.0,ok,0.5788393078897259,0.5625373697233951,1.0,0.1559806600798823,0.035,0.1293103448275862
P1-B,305.0,0.45,a218d9a,fd17b300b596e5cf,2e67811a45503d82,f9004f192d9a2f37,305.0,39.0,ok,0.5632760254252099,0.5625373697233951,1.0,0.2190126050420168,0.042,0.1223855522889542
P1-B,305.0,0.6,a218d9a,fd17b300b596e5cf,2e67811a45503d82,919b2389c892e1fa,305.0,36.0,ok,0.5646263947530609,0.5625373697233951,1.0,0.37714104461831255,0.162,0.04288747346072187
P1-B,305.0,0.75,a218d9a,fd17b300b596e5cf,2e67811a45503d82,e5685cd5a21fb167,305.0,36.0,ok,0.5618539062284406,0.5625373697233951,1.0,0.4792768027067033,0.276,0.21723991507430998
P1-B,305.0,0.9,a218d9a,fd17b300b596e5cf,2e67811a45503d82,f056d6c1059d7187,305.0,37.0,ok,0.5712264628234494,0.5625373697233951,1.0,0.4887202192705039,0.259,0.3771380186282811
P1-B,305.0,1.0,a218d9a,fd17b300b596e5cf,2e67811a45503d82,ba7ac3713dcf6431,305.0,38.0,ok,0.5606976294947154,0.5625373697233951,1.0,0.47591948572030773,0.256,0.3188277461522243
P1-B,306.0,0.0,a218d9a,6b38278092b7bfe6,797e1a6654607170,04d076a821ad663e,306.0,40.0,ok,0.5669739032848562,0.5669739032848562,1.0,0.0878577441077441,0.029,0.11883144178226146
P1-B,306.0,0.15,a218d9a,6b38278092b7bfe6,797e1a6654607170,6ed61dffcc530875,306.0,40.0,ok,0.5729227033142921,0.5669739032848562,1.0,0.12110690235690236,0.028,0.11202185792349725
P1-B,306.0,0.3,a218d9a,6b38278092b7bfe6,797e1a6654607170,cdc1f1cc6633751c,306.0,40.0,ok,0.5663382730358474,0.5669739032848562,1.0,0.16077441077441076,0.025,0.11807482135350986
P1-B,306.0,0.45,a218d9a,6b38278092b7bfe6,797e1a6654607170,e9ff450a6e1ede5d,306.0,36.0,ok,0.5586959921259118,0.5669739032848562,1.0,0.2342113614725484,0.049,0.09792284866468842
P1-B,306.0,0.6,a218d9a,6b38278092b7bfe6,797e1a6654607170,c94f2b3cc845b83a,306.0,30.0,ok,0.5642529274866389,0.5669739032848562,1.0,0.311964897260274,0.051,0.06212802397773496
P1-B,306.0,0.75,a218d9a,,,,,,invalid: epsilon=0.75: only 29 eligible targets,,,,,,
P1-B,306.0,0.9,a218d9a,6b38278092b7bfe6,797e1a6654607170,a2191517329eb0a0,306.0,37.0,ok,0.5721380541067601,0.5669739032848562,1.0,0.5341077085533263,0.276,0.18131983976386254
P1-B,306.0,1.0,a218d9a,6b38278092b7bfe6,797e1a6654607170,785954873861aaf7,306.0,40.0,ok,0.5841212020862654,0.5669739032848562,1.0,0.5003156565656566,0.281,0.3737284573350147
P1-B,307.0,0.0,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,0cf7753b5913dd16,307.0,40.0,ok,0.579884280339616,0.579884280339616,1.0,0.10703363914373089,0.014,0.12003359932801343
P1-B,307.0,0.15,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,da534d0d31e9e384,307.0,40.0,ok,0.5853667062210816,0.579884280339616,1.0,0.09859749024570284,0.023,0.13191936161276777
P1-B,307.0,0.3,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,4cec9ad25c6e286d,307.0,38.0,ok,0.5759693131329856,0.579884280339616,1.0,0.1193223928004235,0.023,0.12273972602739724
P1-B,307.0,0.45,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,66fd6b2378da9b56,307.0,38.0,ok,0.5714840264554645,0.579884280339616,1.0,0.15627316040232928,0.024,0.11966280295047418
P1-B,307.0,0.6,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,cd4dcc4f3edac2ea,307.0,39.0,ok,0.5678946932693104,0.579884280339616,1.0,0.2769605249232723,0.088,0.0798910766652702
P1-B,307.0,0.75,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,d5cf92d6ae1ba2f7,307.0,38.0,ok,0.5979036160094194,0.579884280339616,1.0,0.43568025410269984,0.245,0.30634351949420446
P1-B,307.0,0.9,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,9d511d13ddcf2bff,307.0,37.0,ok,0.591536275077959,0.579884280339616,1.0,0.5033428844317096,0.257,0.2008006742520017
P1-B,307.0,1.0,a218d9a,60754cc4a4a96bfc,543a8d83f9b990e2,1ee34270dfb2212a,307.0,34.0,ok,0.5841193623460368,0.579884280339616,1.0,0.49728116003838363,0.233,0.29013130029648454
P1-B,308.0,0.0,a218d9a,ba3cbebec5690b8c,de3657905917e82a,b7e619b726fe58ea,308.0,40.0,ok,0.5719246442402333,0.5719246442402333,1.0,0.10018963337547408,0.014,0.12762465811066695
P1-B,308.0,0.15,a218d9a,ba3cbebec5690b8c,de3657905917e82a,7e8d94d95a7e1704,308.0,40.0,ok,0.5902392582167398,0.5719246442402333,1.0,0.1400126422250316,0.013,0.12413212707763517
P1-B,308.0,0.3,a218d9a,ba3cbebec5690b8c,de3657905917e82a,3d0a1509a16f2ab8,308.0,38.0,ok,0.5765111166303318,0.5719246442402333,1.0,0.1592565212799662,0.022,0.10916772285593579
P1-B,308.0,0.45,a218d9a,ba3cbebec5690b8c,de3657905917e82a,fcbd0afe60e3baa7,308.0,34.0,ok,0.5846970407778421,0.5719246442402333,1.0,0.20527207283506246,0.035,0.09551856594110116
P1-B,308.0,0.6,a218d9a,ba3cbebec5690b8c,de3657905917e82a,5a15f59f928fd3bb,308.0,33.0,ok,0.5561203558057602,0.5719246442402333,1.0,0.2443024494142705,0.049,0.08198255690278664
P1-B,308.0,0.75,a218d9a,ba3cbebec5690b8c,de3657905917e82a,8033bccd219c0b06,308.0,37.0,ok,0.5778771237501265,0.5719246442402333,1.0,0.4832910321489002,0.22,0.15935783692437683
P1-B,308.0,0.9,a218d9a,ba3cbebec5690b8c,de3657905917e82a,c2830010054c8e05,308.0,38.0,ok,0.5822961797794152,0.5719246442402333,1.0,0.510085542295913,0.288,0.3503591043514998
P1-B,308.0,1.0,a218d9a,ba3cbebec5690b8c,de3657905917e82a,27cfe4bfbe930209,308.0,36.0,ok,0.5666501090046085,0.5719246442402333,1.0,0.5199449793672627,0.211,0.2785291631445478
P1-B,309.0,0.0,a218d9a,e795177da8140593,8db2e6ca869a3559,9891d0c073dda884,309.0,40.0,ok,0.5707205342605625,0.5707205342605625,1.0,0.0969232384752704,0.015,0.1254768969902501
P1-B,309.0,0.15,a218d9a,e795177da8140593,8db2e6ca869a3559,1b0c22b35da76311,309.0,40.0,ok,0.5724167747514051,0.5707205342605625,1.0,0.1486926388743043,0.024,0.10966511233573548
P1-B,309.0,0.3,a218d9a,e795177da8140593,8db2e6ca869a3559,0f7406a6e0810491,309.0,40.0,ok,0.5713672029509433,0.5707205342605625,1.0,0.14197206762574818,0.024,0.11462484103433657
P1-B,309.0,0.45,a218d9a,e795177da8140593,8db2e6ca869a3559,f2c1a0c25b610cc9,309.0,40.0,ok,0.5640661938534279,0.5707205342605625,1.0,0.22839441352514964,0.033,0.08469690546841882
P1-B,309.0,0.6,a218d9a,e795177da8140593,8db2e6ca869a3559,d02ab571043b392e,309.0,40.0,ok,0.561790435190551,0.5707205342605625,1.0,0.3167069200882075,0.088,0.059008054260279774
P1-B,309.0,0.75,a218d9a,e795177da8140593,8db2e6ca869a3559,5a2a4827236b269b,309.0,40.0,ok,0.5640073221661102,0.5707205342605625,1.0,0.4345269347894571,0.161,0.07571004662992795
P1-B,309.0,0.9,a218d9a,e795177da8140593,8db2e6ca869a3559,ab549ce48950c078,309.0,40.0,ok,0.5886340848672168,0.5707205342605625,1.0,0.48272603171269557,0.214,0.31610852055955907
P1-B,309.0,1.0,a218d9a,e795177da8140593,8db2e6ca869a3559,7a69a7b3b7bd784e,309.0,40.0,ok,0.578035341409793,0.5707205342605625,1.0,0.4765305050929329,0.328,0.39186095803306487
P1-B,310.0,0.0,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,3621a7bb7acfbe95,310.0,40.0,ok,0.5896063875780739,0.5896063875780739,1.0,0.09027704624460128,0.007,0.12681799075241695
P1-B,310.0,0.15,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,24a86ea9d4b27039,310.0,40.0,ok,0.5922335366246286,0.5896063875780739,1.0,0.11303065416622775,0.013,0.1266918873476251
P1-B,310.0,0.3,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,a34b002ee5720e30,310.0,40.0,ok,0.6010412929694328,0.5896063875780739,1.0,0.18266090803750132,0.031,0.12387557797393862
P1-B,310.0,0.45,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,87fe71a313c49e16,310.0,36.0,ok,0.5769848497392168,0.5896063875780739,1.0,0.23480106100795756,0.027,0.09791095167756911
P1-B,310.0,0.6,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,07475ce7613ca1cf,310.0,35.0,ok,0.6009318284258263,0.5896063875780739,1.0,0.333262464122462,0.045,0.16223393045310852
P1-B,310.0,0.75,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,46a0e598b8798720,310.0,35.0,ok,0.5935931046536229,0.5896063875780739,1.0,0.4141596683320931,0.19,0.18975763962065334
P1-B,310.0,0.9,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,06f0f99256e30402,310.0,37.0,ok,0.6076045662352476,0.5896063875780739,1.0,0.5269238923044308,0.154,0.26849546317788564
P1-B,310.0,1.0,a218d9a,8e74fa6fa5e3b121,cc8d6179e1db2522,fe633253e70a3b9c,310.0,39.0,ok,0.594178142046343,0.5896063875780739,1.0,0.5086516142646128,0.212,0.33968855218855215
