rung,seed,flat_twin,rho,n_realized,rho_hat,pool_size,rejections,complete,mean_g,mean_tau_hat,mean_m,sd_m,pairs_scored,stage,code_version
1200.0,31621000.0,False,38.05,1131.0,38.80882352941176,4590.0,6.0,True,0.6781567565297725,1.229651006687871,38.166666666666664,10.759491933482114,6.0,B12,5252ee7
1200.0,31621200.0,False,38.05,1127.0,38.671568627450974,4177.0,8.0,True,0.7120383974424378,1.0802212418281465,31.833333333333332,5.269408568963567,6.0,B12,5252ee7
1200.0,31621400.0,False,38.05,1126.0,38.63725490196078,4034.0,8.0,True,0.8618600780532599,1.0807008073309399,36.666666666666664,4.08248290463863,6.0,B12,5252ee7
1200.0,31621600.0,False,38.05,1126.0,38.63725490196078,4168.0,22.0,True,0.9392669753086419,0.9859024908984012,35.5,6.862943974709396,6.0,B12,5252ee7
1200.0,31621800.0,False,38.05,1158.0,39.73529411764706,4873.0,7.0,True,0.7854811292049054,1.177839420074683,41.333333333333336,7.554248252914824,6.0,B12,5252ee7
1200.0,31622000.0,False,38.05,1042.0,35.75490196078431,3739.0,10.0,True,0.7958008449783343,1.123416534826304,34.0,3.1622776601683795,6.0,B12,5252ee7
1200.0,31622200.0,False,38.05,1057.0,36.26960784313725,4051.0,3.0,True,0.9697102544721594,1.037141927574985,33.833333333333336,5.154286242213045,6.0,B12,5252ee7
1200.0,31622400.0,False,38.05,1113.0,38.19117647058823,3934.0,27.0,True,0.8791152263374488,1.0679237875115033,38.666666666666664,11.039323650779819,6.0,B12,5252ee7
1200.0,31622600.0,False,38.05,1156.0,39.666666666666664,4384.0,22.0,True,0.6928143109095489,1.2162819314183198,38.0,5.830951894845301,6.0,B12,5252ee7
1200.0,31622800.0,False,38.05,1091.0,37.436274509803916,3750.0,31.0,True,0.7115840220385673,1.1942056723252132,38.333333333333336,11.465891446663301,6.0,B12,5252ee7
1200.0,31623000.0,False,38.05,1118.0,38.36274509803921,4171.0,49.0,True,0.7561989787242313,1.122615218527515,36.5,10.986355173577815,6.0,B12,5252ee7
1200.0,31623200.0,False,38.05,1111.0,38.12254901960784,3959.0,13.0,True,0.9224514505322586,1.0497973581427997,36.5,6.442049363362563,6.0,B12,5252ee7
1200.0,31623400.0,False,38.05,1115.0,38.259803921568626,4115.0,18.0,True,0.870866705778322,1.0860185352048353,38.166666666666664,3.920034013457877,6.0,B12,5252ee7
1200.0,32600000.0,True,4.337,927.0,4.544117647058823,4910.0,34.0,True,0.7473312548914725,3.4829682687565566,41.5,10.153817016275209,6.0,B12-twin,5252ee7
1200.0,32600200.0,True,4.337,883.0,4.328431372549019,4105.0,11.0,True,0.974207818930041,2.9455868161037504,35.333333333333336,5.08592829940284,6.0,B12-twin,5252ee7
1200.0,32600400.0,True,4.337,890.0,4.362745098039215,4334.0,32.0,True,0.8231922398589065,3.0468255722006354,32.666666666666664,4.273952113286562,6.0,B12-twin,5252ee7
1200.0,32600600.0,True,4.337,869.0,4.259803921568627,3567.0,13.0,True,0.8153131483181991,3.311821649643699,36.333333333333336,4.1311822359545785,6.0,B12-twin,5252ee7
1200.0,32600800.0,True,4.337,893.0,4.377450980392157,4056.0,56.0,True,0.8037934054348196,3.2106869418082282,35.666666666666664,6.470445631227162,6.0,B12-twin,5252ee7
1200.0,32601000.0,True,4.337,885.0,4.338235294117647,4054.0,8.0,True,0.7080716253443525,3.6778207335865694,41.333333333333336,7.312090444371341,6.0,B12-twin,5252ee7
1200.0,32601200.0,True,4.337,905.0,4.436274509803922,4521.0,19.0,True,0.7286531986531987,3.3571890372816657,36.833333333333336,10.722251007445529,6.0,B12-twin,5252ee7
1200.0,32601400.0,True,4.337,814.0,3.9901960784313726,3630.0,7.0,True,0.650667448899772,3.7168683814618144,36.0,6.985699678629192,6.0,B12-twin,5252ee7
1200.0,32601600.0,True,4.337,821.0,4.0245098039215685,3757.0,28.0,True,0.9398347801522405,3.172276374060534,37.333333333333336,8.500980335624043,6.0,B12-twin,5252ee7
1200.0,32601800.0,True,4.337,867.0,4.25,4445.0,26.0,True,0.7983953805734111,3.372805507802673,38.166666666666664,7.4139508136125825,6.0,B12-twin,5252ee7
1200.0,32602000.0,True,4.337,857.0,4.200980392156863,3817.0,26.0,True,0.974893445032334,2.8174388870987026,31.166666666666668,3.3714487489307423,6.0,B12-twin,5252ee7
1200.0,32602200.0,True,4.337,910.0,4.46078431372549,4829.0,26.0,True,0.8501370183314627,3.124756400761916,36.666666666666664,6.186005711819758,6.0,B12-twin,5252ee7
1200.0,32602400.0,True,4.337,906.0,4.4411764705882355,4683.0,3.0,True,0.9786139173297154,3.0757244580535854,37.833333333333336,7.859177225808479,6.0,B12-twin,5252ee7
1200.0,32602600.0,True,4.337,863.0,4.230392156862745,3942.0,4.0,True,0.84230042490532,3.266015889646782,34.833333333333336,8.750238091998792,6.0,B12-twin,5252ee7
1200.0,32602800.0,True,4.337,947.0,4.642156862745098,4894.0,7.0,True,0.7736828477179101,3.391294733850318,39.833333333333336,7.413950813612582,6.0,B12-twin,5252ee7
1200.0,32603000.0,True,4.337,875.0,4.28921568627451,4229.0,35.0,True,0.9329521421873516,3.0728302449510143,36.666666666666664,6.377042156569664,6.0,B12-twin,5252ee7
