n,sample_index,chain_seed,score_seed,code_version,status,truth,restricted,eligible,eligible_floor_met,mix_matched
900.0,3.0,47600.0,47750.0,ce27fce-dirty,ok,0.12200235879963307,0.010673472939265618,17239.0,True,0.005579685327670695
900.0,4.0,47800.0,47950.0,ce27fce-dirty,ok,0.19204515620897875,0.11782632957033094,23297.0,True,0.12434925775218483
900.0,5.0,48000.0,48150.0,ce27fce-dirty,ok,0.13353506117616104,0.04858698713735799,21302.0,True,0.03814324555593606
900.0,6.0,48200.0,48350.0,ce27fce-dirty,ok,0.15059288537549406,0.052634148723206875,20481.0,True,0.03947384495799909
900.0,7.0,48400.0,48550.0,ce27fce-dirty,ok,0.1522875816993464,0.05687668546212307,20395.0,True,0.0416835868047881
900.0,8.0,48600.0,48750.0,ce27fce-dirty,ok,0.20210664911125742,0.13228421554601813,20970.0,True,0.10627992365429409
900.0,9.0,48800.0,48950.0,ce27fce-dirty,ok,0.11651123078943912,0.02291349786565919,20381.0,True,0.016413510788035473
900.0,10.0,49000.0,49150.0,ce27fce-dirty,ok,0.13314037626628075,0.045108594765175425,21548.0,True,0.03860682847786579
900.0,11.0,49200.0,49350.0,ce27fce-dirty,ok,0.13437908496732026,0.04235621432340385,20847.0,True,0.032716454014312626
900.0,12.0,49400.0,49550.0,ce27fce-dirty,ok,0.14092283423162877,0.035544271659790544,18906.0,True,0.02281977095297179
900.0,13.0,49600.0,49750.0,ce27fce-dirty,ok,0.15779118572927597,0.04966591255853107,19007.0,True,0.03163492145807378
900.0,14.0,49800.0,49950.0,ce27fce-dirty,ok,0.18993314982304366,0.11318629751290474,21310.0,True,0.09379848001631443
900.0,15.0,50000.0,50150.0,ce27fce-dirty,ok,0.10851287440882816,0.013676795722145097,19449.0,True,0.009156258131667967
900.0,16.0,50200.0,50350.0,ce27fce-dirty,ok,0.2178814892501311,0.13674020292283348,21486.0,True,0.11891427767607263
900.0,17.0,50400.0,50550.0,ce27fce-dirty,ok,0.11680837148463048,0.025821370074188266,20758.0,True,0.019837744433703394
900.0,18.0,50600.0,50750.0,ce27fce-dirty,ok,0.14072912583300667,0.05718869438021988,21193.0,True,0.04494577623115251
900.0,19.0,50800.0,50950.0,ce27fce-dirty,ok,0.11380939879233394,0.020548296182423778,19515.0,True,0.013450067830851994
1200.0,0.0,51000.0,51150.0,ce27fce-dirty,ok,0.19800420168067226,0.09157168713006897,20443.0,True,0.0700567767719467
1200.0,1.0,51200.0,51350.0,ce27fce-dirty,ok,0.2,0.11274864376130199,22120.0,True,0.10074095049501952
1200.0,2.0,51400.0,51550.0,ce27fce,ok,0.12809373354397052,0.02674244690397846,16715.0,True,0.014578986671273149
1200.0,3.0,51600.0,51750.0,ce27fce,ok,0.1543905635648755,0.06340324071821322,20551.0,True,0.04837862488067641
1200.0,4.0,51800.0,51950.0,ce27fce,ok,0.16557247899159663,0.07544769546922399,20438.0,True,0.056555429467807464
1200.0,5.0,52000.0,52150.0,ce27fce,ok,0.19555555555555557,0.1036462034658066,18293.0,True,0.07125303072406948
1200.0,6.0,52200.0,52350.0,ce27fce,ok,0.14197449717365584,0.054946140923016105,20238.0,True,0.04089161365397919
1200.0,7.0,52400.0,52550.0,ce27fce,ok,0.17641669938489726,0.0808690992351537,20527.0,True,0.05969166487696805
1200.0,8.0,52600.0,52750.0,ce27fce,ok,0.1657901656586905,0.08344652721180838,22086.0,True,0.07421122143695748
1200.0,9.0,52800.0,52950.0,ce27fce,ok,0.1474056603773585,0.05668111571805503,21224.0,True,0.0464596698070619
1200.0,10.0,53000.0,53150.0,ce27fce,ok,0.16967792615868027,0.08654545454545455,22000.0,True,0.07860026472471557
