tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
0.6,6165000.0,False,2173.0,441.390625,31246.0,8.0,True,-0.7295844477277115,0.18638697171277688,79.0,9.633275663033837,A13,3f46313
0.6,6165200.0,False,2199.0,446.671875,31769.0,7.0,True,-0.8595786344054788,0.13817242049366876,72.66666666666667,9.93310961716756,A13,3f46313
0.6,6165400.0,False,2108.0,428.1875,29473.0,5.0,True,-0.8714520112993276,0.13444603187299065,76.5,11.220516922138659,A13,3f46313
0.6,6165600.0,False,2096.0,425.75,28888.0,17.0,True,-0.7101718845385069,0.19490730453413055,65.5,13.590437814875575,A13,3f46313
0.6,6165800.0,False,2104.0,427.375,27756.0,23.0,True,-1.1203605112544832,0.07579481351242226,80.0,8.246211251235321,A13,3f46313
0.6,6166000.0,False,2158.0,438.34375,32132.0,1.0,True,-0.44956691749000116,0.3551673889328477,70.0,9.919677414109795,A13,3f46313
0.6,6166200.0,False,2053.0,417.015625,28826.0,2.0,True,-1.0274122385529243,0.0938831734931436,76.16666666666667,19.239715867617864,A13,3f46313
0.6,6166400.0,False,2178.0,442.40625,32476.0,4.0,True,-0.8158196579136779,0.15282005163470497,67.66666666666667,7.201851613763413,A13,3f46313
0.6,6166600.0,False,2211.0,449.109375,32820.0,3.0,True,-0.6160227556046058,0.24209021960882232,77.66666666666667,3.723797345005051,A13,3f46313
0.6,6166800.0,False,2134.0,433.46875,29920.0,24.0,True,-0.9915530674131751,0.10196401603227363,81.33333333333333,12.863384728238001,A13,3f46313
0.6,6167000.0,False,2111.0,428.796875,28148.0,14.0,True,-0.6306840751440086,0.23405392304339886,76.5,17.002940922087568,A13,3f46313
0.6,6167200.0,False,2205.0,447.890625,31124.0,7.0,True,-0.9418174991368138,0.11433587003523196,78.66666666666667,9.437513796899408,A13,3f46313
0.6,6167400.0,False,2118.0,430.21875,29854.0,10.0,True,-0.7396460849114469,0.1821184372909045,73.16666666666667,14.260668521028972,A13,3f46313
0.6,6167600.0,False,2094.0,425.34375,29104.0,11.0,True,-0.8032724416016527,0.15729957832220956,80.0,6.6332495807108,A13,3f46313
0.6,6167800.0,False,2109.0,428.390625,30432.0,12.0,True,-1.0304946596788493,0.0932191933010135,76.5,14.625320509308505,A13,3f46313
0.6,6168000.0,False,2173.0,441.390625,30931.0,26.0,True,-0.691055493384746,0.20367818046822223,72.33333333333333,13.485794995722967,A13,3f46313
1.0,6208000.0,False,1931.0,160.91666666666666,17315.0,3.0,True,-0.6412086011424528,0.2284501243871021,69.16666666666667,10.609743949156675,A13,3f46313
1.0,6208200.0,False,1982.0,165.16666666666666,19172.0,2.0,True,-0.6736111015889554,0.21202589172397224,75.83333333333333,8.518607084885806,A13,3f46313
1.0,6208400.0,False,1900.0,158.33333333333334,17669.0,21.0,True,-0.7440641837564345,0.18027512951518881,73.33333333333333,7.788880963698615,A13,3f46313
1.0,6208600.0,False,1932.0,161.0,17783.0,7.0,True,-1.1056908485690338,0.07839875237198847,77.33333333333333,11.621818561080131,A13,3f46313
1.0,6208800.0,False,1970.0,164.16666666666666,18668.0,14.0,True,-0.5933956619804587,0.25503767349919665,74.16666666666667,9.239408350466315,A13,3f46313
1.0,6209000.0,False,1901.0,158.41666666666666,16842.0,9.0,True,-0.5891366057278979,0.25755109121188235,72.66666666666667,8.778762251403478,A13,3f46313
1.0,6209200.0,False,1964.0,163.66666666666666,16114.0,18.0,True,-0.6625745097290044,0.21748308771696165,69.83333333333333,16.92828008589965,A13,3f46313
1.0,6209400.0,False,1955.0,162.91666666666666,17657.0,17.0,True,-0.6120934688763484,0.24429047340547969,68.5,8.093207028119323,A13,3f46313
1.0,6209600.0,False,2019.0,168.25,18686.0,26.0,True,-0.7787434360565801,0.16643956188664855,74.66666666666667,9.688481133111972,A13,3f46313
1.0,6209800.0,False,1919.0,159.91666666666666,15484.0,119.0,True,-0.696894652861177,0.2009580218874864,74.16666666666667,7.600438583836242,A13,3f46313
1.0,6210000.0,False,1952.0,162.66666666666666,17330.0,29.0,True,-0.804609452830728,0.15681606330430842,87.0,15.84929020492716,A13,3f46313
1.0,6210200.0,False,1978.0,164.83333333333334,18314.0,7.0,True,-0.7191585049370425,0.19091563444961746,74.0,10.844353369380768,A13,3f46313
1.0,6210400.0,False,2010.0,167.5,17937.0,28.0,True,-0.8763237617003056,0.13294629486349518,74.33333333333333,13.559744343705992,A13,3f46313
1.0,6210600.0,False,1859.0,154.91666666666666,14905.0,20.0,True,-0.8009478981397273,0.15814377513434325,72.16666666666667,9.239408350466315,A13,3f46313
1.0,6210800.0,False,1952.0,162.66666666666666,16619.0,25.0,True,-0.7359996316094788,0.18365399011936168,74.83333333333333,10.419532938988517,A13,3f46313
1.0,6211000.0,False,1956.0,163.0,13884.0,18.0,True,-0.7927952681022833,0.16114050928450827,84.5,11.995832609702422,A13,3f46313
1.0,6211200.0,False,1981.0,165.08333333333334,16615.0,46.0,True,-0.7896699944718927,0.16230429237336053,74.5,13.924798023669858,A13,3f46313
1.0,6211400.0,False,1976.0,164.66666666666666,16139.0,4.0,True,-1.1524270534927148,0.07040004658248197,85.33333333333333,17.862437310363518,A13,3f46313
1.0,6211600.0,False,2004.0,167.0,18507.0,14.0,True,-0.8413106326666869,0.14410842355707557,81.66666666666667,19.19027531503044,A13,3f46313
