N,repetition,pair_number,rho,true_tau,interval_count,chain_length_including_endpoints,effective_chain_length_minus_endpoints,asymptotic_chain_length,tau_chain_estimate,tau_chain_error
600.0,1.0,5.0,300.0,1.1637531205026705,188.0,24.0,22.0,28.506013318032075,0.8981462390204986,-0.26560688148217193
600.0,1.0,6.0,300.0,0.46542169683141604,30.0,10.0,8.0,11.400456724572956,0.32659863237109044,-0.1388230644603256
600.0,1.0,7.0,300.0,0.7886900148173435,104.0,20.0,18.0,19.318881015305955,0.7348469228349535,-0.05384309198239001
600.0,1.0,8.0,300.0,0.589048521665443,49.0,13.0,11.0,14.428683118210971,0.4490731195102493,-0.13997540215519366
600.0,1.0,9.0,300.0,0.42193025091982056,29.0,9.0,7.0,10.335138217980331,0.2857738033247041,-0.13615644759511647
600.0,1.0,10.0,300.0,0.49318713560967276,45.0,13.0,11.0,12.080568299485098,0.4490731195102493,-0.04411401609942345
600.0,1.0,11.0,300.0,0.23413427020249714,5.0,4.0,2.0,5.735094932950418,0.08164965809277261,-0.15248461210972453
600.0,1.0,12.0,300.0,1.02192522731218,144.0,22.0,20.0,25.031953621925524,0.816496580927726,-0.2054286463844539
600.0,1.0,13.0,300.0,0.7650919501466232,75.0,16.0,14.0,18.74084884170132,0.5715476066494082,-0.19354434349721505
600.0,1.0,14.0,300.0,0.577567625282908,60.0,14.0,12.0,14.147459738941212,0.48989794855663565,-0.0876696767262723
600.0,1.0,15.0,300.0,0.3266362328137166,13.0,9.0,7.0,8.00092101898537,0.2857738033247041,-0.04086242948901253
600.0,1.0,16.0,300.0,0.2808604022138404,9.0,5.0,3.0,6.879646743767599,0.12247448713915891,-0.15838591507468147
600.0,1.0,17.0,300.0,0.29573495653165605,9.0,6.0,4.0,7.243997426067205,0.16329931618554522,-0.13243564034611083
600.0,1.0,18.0,300.0,0.3284401979309771,14.0,9.0,7.0,8.045108959496051,0.2857738033247041,-0.04266639460627303
600.0,1.0,19.0,300.0,0.2995498341721507,17.0,9.0,7.0,7.33744246257085,0.2857738033247041,-0.013776030847446608
