N,tick_count,repetition,source_protocol,target_protocol,source_beta,target_beta,expected_relative_beta,fitted_beta,fitted_beta_error,fitted_translation_t,fitted_translation_x,transition_rmse,accessible_overlap_count,accessible_overlap_fraction,invariant_pair_count,invariant_interval_rmse,invariant_interval_mae,invariant_interval_bias
600.0,32.0,1.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.029212951010577987,-0.037472354268159175,0.03333225132654524,209.0,0.34833333333333333,500.0,0.0578988287446925,0.03585613750569686,0.004853139037407048
600.0,32.0,1.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5035,0.008127906976744259,0.07004256219634696,-0.07342611179567089,0.028495958998531058,122.0,0.20333333333333334,500.0,0.03541861785042556,0.022357229206879187,0.00017446431777685988
600.0,64.0,1.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29735,-0.0026499999999999857,-0.06846581248406648,0.06777732496492836,0.015123241505888138,174.0,0.29,500.0,0.024185195802325712,0.014849265377401525,0.005225814722809354
600.0,64.0,1.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.247,0.0030000000000000027,0.031641133928820835,-0.03270816308236683,0.015010314668715564,209.0,0.34833333333333333,500.0,0.025402776108376206,0.01585251247734319,0.003434663717010723
600.0,64.0,1.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5148999999999999,-0.0032720930232557066,0.06911008365781066,-0.07128694906819644,0.01116433474793011,122.0,0.20333333333333334,500.0,0.012058546482237606,0.008102951096152673,-0.0023961296706730196
600.0,128.0,1.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29925,-0.0007499999999999729,-0.0681276331737142,0.0683826221130972,0.007484514779948115,174.0,0.29,500.0,0.011450585524737872,0.007112475859591472,0.001106303638821236
600.0,128.0,1.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2517499999999999,-0.0017499999999999183,0.030326328788854263,-0.030756517787906883,0.007110430029591537,209.0,0.34833333333333333,500.0,0.013455919351635261,0.008145204478512455,-0.0010646407797518477
600.0,128.0,1.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5120499999999999,-0.00042209302325568743,0.06841018771684163,-0.07095090235004424,0.005692161389212048,122.0,0.20333333333333334,500.0,0.006264408190643623,0.0043269350135856895,-0.0011707892622396486
600.0,32.0,2.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2983,-0.0016999999999999793,-0.06919219991310849,0.06871491135007896,0.03129095236096007,188.0,0.31333333333333335,500.0,0.04697574522449522,0.030403686691527057,0.0033068512645584034
600.0,32.0,2.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.24509999999999998,0.0049000000000000155,0.03003351028982484,-0.03652302451469751,0.03184623396489497,201.0,0.335,500.0,0.05193992778174081,0.032409879030791434,-0.004658168317280305
