target_index,t,x,inertial_accessible,rindler_accessible,rindler_wedge_accessible,rindler_finite_coverage_accessible
30.0,0.6879795118254375,-0.6544344246414027,1.0,0.0,0.0,0.0
31.0,-1.2019382241271468,-0.7153715291831593,1.0,0.0,0.0,0.0
32.0,-0.5395593270206858,-0.7115958490885953,1.0,0.0,0.0,0.0
33.0,0.5164326061588369,0.7176973461701609,1.0,1.0,1.0,1.0
34.0,-0.23849138113686408,-0.8285135290291442,1.0,0.0,0.0,0.0
35.0,-0.0004167452494119317,-1.8685157933575043,1.0,0.0,0.0,0.0
36.0,-0.2990855006036979,-0.3350560112941773,1.0,0.0,0.0,0.0
37.0,0.48085380806151123,-0.8526727032288169,1.0,0.0,0.0,0.0
38.0,-0.1598194427636157,-0.19733149273776043,1.0,0.0,0.0,0.0
39.0,1.0309153812331657,-0.5067838192861766,1.0,0.0,0.0,0.0
40.0,-0.010309218049524116,-0.2317797084558853,1.0,0.0,0.0,0.0
41.0,0.11724864078708164,-0.21213659823669656,1.0,0.0,0.0,0.0
42.0,1.14314280285523,0.1293309489328944,1.0,0.0,0.0,0.0
43.0,-0.34137660257731683,0.22208232944539036,1.0,0.0,0.0,0.0
44.0,0.9160604683052376,0.4133638514248903,1.0,0.0,0.0,0.0
45.0,1.8717047596985856,-0.07599455817561661,1.0,0.0,0.0,0.0
46.0,-1.4049439510700084,-0.16996620643176052,1.0,0.0,0.0,0.0
47.0,-0.08004830476867131,0.0715179909651787,1.0,0.0,0.0,0.0
48.0,1.2075223148732315,0.16200536393967344,1.0,0.0,0.0,0.0
49.0,-0.9354789108308297,0.5456666275560371,1.0,0.0,0.0,0.0
50.0,-0.228988684101874,1.3430934410250812,1.0,1.0,1.0,1.0
51.0,0.9280247826262431,-0.9810988714520112,1.0,0.0,0.0,0.0
52.0,0.8768790913069613,0.6406120142498594,1.0,0.0,0.0,0.0
53.0,0.05103489304831221,-1.2010724282768603,1.0,0.0,0.0,0.0
54.0,-1.7332399649315944,0.0834853107249484,1.0,0.0,0.0,0.0
55.0,-0.6227600847834993,0.7612896111143457,1.0,1.0,1.0,1.0
56.0,-0.2788050722086668,-0.5831590452453397,1.0,0.0,0.0,0.0
57.0,0.24892736891382805,-1.0486015973040816,1.0,0.0,0.0,0.0
58.0,-0.964541627316271,0.0004041212875033717,1.0,0.0,0.0,0.0
59.0,-1.0332971436226202,0.6028655893384088,1.0,0.0,0.0,0.0
60.0,-1.0965222863307025,-0.39068073119610436,1.0,0.0,0.0,0.0
61.0,-0.8466769719696896,1.10256474481324,1.0,0.0,1.0,0.0
62.0,0.3444922592509312,-1.3500706055733658,1.0,0.0,0.0,0.0
63.0,0.21636200869307132,0.8202959512384433,1.0,1.0,1.0,1.0
64.0,1.238843103651111,0.18832255926707508,1.0,0.0,0.0,0.0
65.0,0.24190380802474332,-1.6056767182935343,1.0,0.0,0.0,0.0
66.0,-0.846315142275158,-1.082533712309892,1.0,0.0,0.0,0.0
67.0,-0.3484146292764292,1.488556012731241,1.0,1.0,1.0,1.0
68.0,1.2724838838836416,-0.6802664939902421,1.0,0.0,0.0,0.0
69.0,0.506025849679014,-0.11853384442102012,1.0,0.0,0.0,0.0
70.0,-0.5223823556332765,-1.1521385819774395,1.0,0.0,0.0,0.0
71.0,0.21044604208514883,-0.8464737318988814,1.0,0.0,0.0,0.0
72.0,-1.8277324457271833,-0.06596064884283667,1.0,0.0,0.0,0.0
73.0,-0.3384638505151014,-1.1735859914810194,1.0,0.0,0.0,0.0
74.0,1.319215941112411,0.18534933092890535,1.0,0.0,0.0,0.0
75.0,0.6104583053465538,-0.31312859477342525,1.0,0.0,0.0,0.0
76.0,-0.9046036056017712,0.2020264842588407,1.0,0.0,0.0,0.0
77.0,0.8106082826391452,-0.47635493245516153,1.0,0.0,0.0,0.0
78.0,1.4591131816030964,0.4974532245349432,1.0,0.0,0.0,0.0
79.0,-0.47691796675644227,1.2293746373874046,1.0,1.0,1.0,1.0
80.0,-0.28090375528569345,-0.7566602228664888,1.0,0.0,0.0,0.0
81.0,-0.04460181266614294,-1.4540113599141005,1.0,0.0,0.0,0.0
82.0,1.1027647524073134,0.6404630305628136,1.0,0.0,0.0,0.0
83.0,-0.764570549122956,0.03341329024295901,1.0,0.0,0.0,0.0
84.0,-0.9206528579967994,-0.7795973914987184,1.0,0.0,0.0,0.0
85.0,0.04282602217458109,0.45839369151041387,1.0,1.0,1.0,1.0
86.0,-0.7362258185291992,-0.8212045498849463,1.0,0.0,0.0,0.0
87.0,-1.2691504842937502,0.2121053125291448,1.0,0.0,0.0,0.0
88.0,1.8336545271118077,-0.10351919664872225,1.0,0.0,0.0,0.0
89.0,0.9929940132070163,-1.002421361275141,1.0,0.0,0.0,0.0
90.0,-1.01141303871157,0.2315502470016463,1.0,0.0,0.0,0.0
91.0,-1.4350137723958736,-0.2747392476520243,1.0,0.0,0.0,0.0
92.0,-1.3317882848709113,0.5074343772342303,1.0,0.0,0.0,0.0
93.0,-0.41777090758049606,0.5698500854553681,1.0,1.0,1.0,1.0
94.0,0.24560307020089178,1.2315749637591349,1.0,1.0,1.0,1.0
95.0,0.3133436597050907,1.5207053120793599,1.0,1.0,1.0,1.0
96.0,0.10408899447150066,-1.0232527186674807,1.0,0.0,0.0,0.0
97.0,0.09373890957967967,1.6349442452503429,1.0,1.0,1.0,1.0
98.0,0.2855824018230977,-1.4886041338599576,1.0,0.0,0.0,0.0
99.0,1.0905968049015544,0.5630384680915159,1.0,0.0,0.0,0.0
100.0,-0.72127345486934,1.021826507218568,1.0,1.0,1.0,1.0
101.0,-1.2499691370888604,-0.08923684537006919,1.0,0.0,0.0,0.0
102.0,0.6901065356674772,-0.4193075212986767,1.0,0.0,0.0,0.0
103.0,-0.00010870536552598509,-1.6301588938955616,1.0,0.0,0.0,0.0
104.0,0.976389917130593,-0.431294100922793,1.0,0.0,0.0,0.0
105.0,-0.4477330728619231,1.1521665879176446,1.0,1.0,1.0,1.0
106.0,-1.7484180061801147,0.11802569406902297,1.0,0.0,0.0,0.0
107.0,-0.41963316656812966,1.0361761281313728,1.0,1.0,1.0,1.0
108.0,-0.11079865299995406,1.0921221864491935,1.0,1.0,1.0,1.0
109.0,1.0636684709554896,-0.04053561404270662,1.0,0.0,0.0,0.0
110.0,-1.7186949857231277,0.0825418019811478,1.0,0.0,0.0,0.0
111.0,-0.01371322480458792,-0.3151132704462451,1.0,0.0,0.0,0.0
112.0,-1.345826335214079,-0.37431410234461243,1.0,0.0,0.0,0.0
113.0,0.8435194530637795,-0.5676003276852977,1.0,0.0,0.0,0.0
114.0,-0.1585786845307009,-0.9023789577001923,1.0,0.0,0.0,0.0
115.0,0.02987944217810856,0.21232358879119173,1.0,1.0,1.0,1.0
116.0,-1.2110602108165258,0.46156503435676394,1.0,0.0,0.0,0.0
117.0,1.2325470072542726,-0.1408315091360838,1.0,0.0,0.0,0.0
118.0,-0.04461585548296032,1.8759239683934295,1.0,1.0,1.0,1.0
119.0,-1.2682267012971251,-0.5704516563321889,1.0,0.0,0.0,0.0
120.0,-0.07495801369892563,1.2871587907417876,1.0,1.0,1.0,1.0
121.0,0.41139562096446536,0.3194585954623543,1.0,0.0,0.0,0.0
122.0,0.620484255965521,0.020810365910762917,1.0,0.0,0.0,0.0
123.0,-0.4727408801350448,-0.786211123726806,1.0,0.0,0.0,0.0
124.0,-0.6978175355971823,0.13777286276298392,1.0,0.0,0.0,0.0
125.0,-0.05785944488164896,-1.2611574104768568,1.0,0.0,0.0,0.0
126.0,-0.3094864143008751,-1.6078500454062155,1.0,0.0,0.0,0.0
127.0,1.5101156234871844,0.39076138938037747,1.0,0.0,0.0,0.0
128.0,-1.6527405111404234,-0.30375492928593417,1.0,0.0,0.0,0.0
129.0,0.8336750276554641,-0.5392022478984724,1.0,0.0,0.0,0.0
130.0,-0.7108531010406729,0.29153971916437943,1.0,0.0,0.0,0.0
131.0,-0.5507681980617236,-0.056452093654621074,1.0,0.0,0.0,0.0
132.0,0.16563993452065828,-0.5514889872118798,1.0,0.0,0.0,0.0
133.0,-0.37220879744277546,-1.5899833651591773,1.0,0.0,0.0,0.0
134.0,0.9775229053895962,-0.22384216699407591,1.0,0.0,0.0,0.0
135.0,0.8151430770671912,-1.178283117978055,1.0,0.0,0.0,0.0
136.0,-0.30357405822394856,-1.5343366392207005,1.0,0.0,0.0,0.0
137.0,0.014707916802315868,1.0812685256350172,1.0,1.0,1.0,1.0
138.0,-0.09541171212498778,0.4394223308985867,1.0,1.0,1.0,1.0
139.0,0.28273914343799644,1.1773161137655552,1.0,1.0,1.0,1.0
140.0,-0.43447829478134325,0.730721291434299,1.0,1.0,1.0,1.0
141.0,-1.7050359464087763,-0.0818426137099126,1.0,0.0,0.0,0.0
142.0,-0.09533214713201765,1.618826746094258,1.0,1.0,1.0,1.0
143.0,-0.2858415674283048,0.7994922443047474,1.0,1.0,1.0,1.0
144.0,-0.3050502281182106,1.3156199804784945,1.0,1.0,1.0,1.0
145.0,0.736201792300132,1.232630867811507,1.0,0.0,1.0,0.0
146.0,1.2951254335710867,0.007612846374230223,1.0,0.0,0.0,0.0
147.0,-1.8391271163815972,-0.10667052569226568,1.0,0.0,0.0,0.0
148.0,0.27610341705343266,0.053088112733290005,1.0,0.0,0.0,0.0
149.0,0.12864189389737657,1.002666111484963,1.0,1.0,1.0,1.0
150.0,1.2529763814567696,-0.14805906752362916,1.0,0.0,0.0,0.0
151.0,-0.5977807545284475,1.3210883759231054,1.0,1.0,1.0,1.0
152.0,-0.4333008021843887,-0.35593993041228544,1.0,0.0,0.0,0.0
153.0,-0.24308427256677412,-0.4274807281603179,1.0,0.0,0.0,0.0
154.0,0.35352043771685926,-1.4133852165623317,1.0,0.0,0.0,0.0
155.0,-0.8796703925340021,-1.0015031175174658,1.0,0.0,0.0,0.0
156.0,0.2576512844823764,1.2280449909450755,1.0,1.0,1.0,1.0
157.0,-0.0620042306149986,-1.7069011393694562,1.0,0.0,0.0,0.0
158.0,-0.6880708409415899,-1.239353780622981,1.0,0.0,0.0,0.0
159.0,-0.5487121965482555,-0.11043083896607163,1.0,0.0,0.0,0.0
160.0,-0.6804166700242567,-0.4313318332086808,1.0,0.0,0.0,0.0
161.0,-1.2028066372820554,0.2245615363715499,1.0,0.0,0.0,0.0
162.0,0.04869463135094021,1.4173495136117908,1.0,1.0,1.0,1.0
163.0,1.5336749345342477,0.3518250967996566,1.0,0.0,0.0,0.0
164.0,1.1569901930107052,0.1284427158851294,1.0,0.0,0.0,0.0
165.0,0.22734196021596098,1.6384899604014427,1.0,1.0,1.0,1.0
166.0,-1.110186416034559,-0.14332328170016936,1.0,0.0,0.0,0.0
167.0,0.8519745237516827,0.07204897728953691,1.0,0.0,0.0,0.0
168.0,0.8670027222549126,-0.5723810893638218,1.0,0.0,0.0,0.0
169.0,0.5841800942654194,0.9343767431016644,1.0,1.0,1.0,1.0
170.0,0.44535473710080486,-0.11060518072421129,1.0,0.0,0.0,0.0
171.0,-1.0143761237960978,-0.05610951416480803,1.0,0.0,0.0,0.0
172.0,0.29751219239172766,0.2910948013335741,1.0,0.0,0.0,0.0
173.0,0.35984237059812285,-1.2049992574640274,1.0,0.0,0.0,0.0
